id;type;title;messageGerman;messageEnglish;messageFrance;messageItalian
1;9;Quellen UR - beta v1.1;© Monitron AG, 2023;;;
2;1;Quellen UR - beta v1.1;Bitte Ordner mit Strukturprotokollen (.xlsx) auswählen;;;
3;3;Quellen UR - beta v1.1;FEHLER + ABBRUCH - Keine xlsx-Dateien in Input-Verzeichnis;;;
4;3;Quellen UR - beta v1.1;FEHLER - Quellen-ID unvollständig oder fehlend;;;
5;3;Quellen UR - beta v1.1;FEHLER – Daten unvollständig in Feld;;;
6;3;Quellen UR - beta v1.1;FEHLER – Quelle nicht bewertbar ankreuzen oder Zutreffendes markieren bei;;;
7;3;Quellen UR - beta v1.1;FEHLER - Keine Mehrfachauswahl erlaubt bei;;;
8;3;Quellen UR - beta v1.1;FEHLER - Doppelte Auswahl bei Quelle nicht bewertbar und Wert A;;;
9;3;Quellen UR - beta v1.1;FEHLER - Doppelte Auswahl bei Quelle nicht bewertbar und Wert B;;;
10;3;Quellen UR - beta v1.1;FEHLER - Doppelte Auswahl bei Quelle zerstört und kein Abfluss;;;
11;9;Quellen UR - beta v1.1;Wiski-Importdateien(csv) erfolgreich erstellt - Anzahl Einträge: ;;;
12;9;Quellen UR - beta v1.1;Keine Wiski-Importdateien(csv) erstellt;;;
13;3;Quellen UR - beta v1.1;FEHLER + ABBRUCH - Kein Verzeichnis ;;;
