Stationsname;Stationsnummer;Messortname;Name der Zeitzone;Langname;Name Verwaltungseinheit;Vorgänger;Nachfolger;Stationsausprägung
Untere Planzeren;UR1201-Q1001;Altdorf (UR);W. Europe Standard Time;Untere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Mittlere Planzeren;UR1201-Q1002;Altdorf (UR);W. Europe Standard Time;Mittlere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Mittlere Planzeren;UR1201-Q1003;Altdorf (UR);W. Europe Standard Time;Mittlere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Mittlere Planzeren;UR1201-Q1004;Altdorf (UR);W. Europe Standard Time;Mittlere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Mittlere Planzeren;UR1201-Q1005;Altdorf (UR);W. Europe Standard Time;Mittlere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Unter Weid;UR1201-Q1006;Altdorf (UR);W. Europe Standard Time;Unter Weid;Uri;;;GW_STATION_HAND|GW_STATION
Chli Luegi, Planzerberg;UR1201-Q1007;Altdorf (UR);W. Europe Standard Time;Chli Luegi, Planzerberg;Uri;;;GW_STATION_HAND|GW_STATION
Schattigen Bergen (unterhalb);UR1201-Q1008;Altdorf (UR);W. Europe Standard Time;Schattigen Bergen (unterhalb);Uri;;;GW_STATION_HAND|GW_STATION
Schattigen Bergen;UR1201-Q1009;Altdorf (UR);W. Europe Standard Time;Schattigen Bergen;Uri;;;GW_STATION_HAND|GW_STATION
Schattigen Bergen;UR1201-Q1010;Altdorf (UR);W. Europe Standard Time;Schattigen Bergen;Uri;;;GW_STATION_HAND|GW_STATION
Schattigen Bergen;UR1201-Q1011;Altdorf (UR);W. Europe Standard Time;Schattigen Bergen;Uri;;;GW_STATION_HAND|GW_STATION
Rophaienhütte-Angelingen;UR1201-Q1012;Altdorf (UR);W. Europe Standard Time;Rophaienhütte-Angelingen;Uri;;;GW_STATION_HAND|GW_STATION
Angelingen;UR1201-Q1013;Altdorf (UR);W. Europe Standard Time;Angelingen;Uri;;;GW_STATION_HAND|GW_STATION
Angelingen;UR1201-Q1014;Altdorf (UR);W. Europe Standard Time;Angelingen;Uri;;;GW_STATION_HAND|GW_STATION
Guferlibach;UR1201-Q1015;Altdorf (UR);W. Europe Standard Time;Guferlibach;Uri;;;GW_STATION_HAND|GW_STATION
Obere Planzeren;UR1201-Q1016;Altdorf (UR);W. Europe Standard Time;Obere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Obere Planzeren;UR1201-Q1017;Altdorf (UR);W. Europe Standard Time;Obere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Obere Planzeren;UR1201-Q1018;Altdorf (UR);W. Europe Standard Time;Obere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Eggberge;UR1201-Q1019;Altdorf (UR);W. Europe Standard Time;Eggberge;Uri;;;GW_STATION_HAND|GW_STATION
Eggberge;UR1201-Q1020;Altdorf (UR);W. Europe Standard Time;Eggberge;Uri;;;GW_STATION_HAND|GW_STATION
Eggberge;UR1201-Q1021;Altdorf (UR);W. Europe Standard Time;Eggberge;Uri;;;GW_STATION_HAND|GW_STATION
Mittlere Planzeren;UR1201-Q1022;Altdorf (UR);W. Europe Standard Time;Mittlere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Mittlere Planzeren;UR1201-Q1023;Altdorf (UR);W. Europe Standard Time;Mittlere Planzeren;Uri;;;GW_STATION_HAND|GW_STATION
Unterhalb Bergstation;UR1201-Q1024;Altdorf (UR);W. Europe Standard Time;Unterhalb Bergstation;Uri;;;GW_STATION_HAND|GW_STATION
Eggberge;UR1201-Q1025;Altdorf (UR);W. Europe Standard Time;Eggberge;Uri;;;GW_STATION_HAND|GW_STATION
Ober Eggberge;UR1201-Q1026;Altdorf (UR);W. Europe Standard Time;Ober Eggberge;Uri;;;GW_STATION_HAND|GW_STATION
Eggberge;UR1201-Q1027;Altdorf (UR);W. Europe Standard Time;Eggberge;Uri;;;GW_STATION_HAND|GW_STATION
Chäserberg;UR1201-Q1028;Altdorf (UR);W. Europe Standard Time;Chäserberg;Uri;;;GW_STATION_HAND|GW_STATION
Chäserberg;UR1201-Q1029;Altdorf (UR);W. Europe Standard Time;Chäserberg;Uri;;;GW_STATION_HAND|GW_STATION
Chäserberg;UR1201-Q1030;Altdorf (UR);W. Europe Standard Time;Chäserberg;Uri;;;GW_STATION_HAND|GW_STATION
Chäserberg;UR1201-Q1031;Altdorf (UR);W. Europe Standard Time;Chäserberg;Uri;;;GW_STATION_HAND|GW_STATION
Chäserberg;UR1201-Q1032;Altdorf (UR);W. Europe Standard Time;Chäserberg;Uri;;;GW_STATION_HAND|GW_STATION
Nussbäumli;UR1201-Q1033;Altdorf (UR);W. Europe Standard Time;Nussbäumli;Uri;;;GW_STATION_HAND|GW_STATION
Belmite;UR1201-Q1034;Altdorf (UR);W. Europe Standard Time;Belmite;Uri;;;GW_STATION_HAND|GW_STATION
