Stationsnummer;Name des Projektionssystems;Rechtswert (lokal);Hochwert (lokal);Projektionssystem gültig ab;Höhe;Höhensystem;Name der hydrologischen Einheit;Einzugsgebietsnummer;Einzugsgebietsname
UR1201-EB101;CH1903+ / LV95;2691320.617;1193069.606;01.01.1950 00:00;446.91;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB102;CH1903+ / LV95;2690897.601;1192027.591;01.01.1950 00:00;448.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB201;CH1903+ / LV95;2691329.613;1192791.601;01.01.1950 00:00;453.14;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB202A;CH1903+ / LV95;2690635.618;1194195.615;01.01.1950 00:00;436.22;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB202B;CH1903+ / LV95;2690638.618;1194197.614;01.01.1950 00:00;436.22;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB203;CH1903+ / LV95;2690605.611;1193470.608;01.01.1950 00:00;438.12;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB204;CH1903+ / LV95;2690910.599;1191853.59;01.01.1950 00:00;448.46;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB205;CH1903+ / LV95;2690942.599;1191709.589;01.01.1950 00:00;447.46;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB206;CH1903+ / LV95;2691008.598;1191477.586;01.01.1950 00:00;448.7;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB207;CH1903+ / LV95;2690632.61;1193368.607;01.01.1950 00:00;438.41;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB208;CH1903+ / LV95;2691091.61;1192878.598;01.01.1950 00:00;445.46;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB209;CH1903+ / LV95;2691151.611;1192864.599;01.01.1950 00:00;446.33;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB210;CH1903+ / LV95;2691554.613;1192400.598;01.01.1950 00:00;460.04;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB211;CH1903+ / LV95;2691498.618;1192932.607;01.01.1950 00:00;452.51;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB212;CH1903+ / LV95;2690438.61;1193527.611;01.01.1950 00:00;;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB213;CH1903+ / LV95;2690347.61;1193558.612;01.01.1950 00:00;;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB214;CH1903+ / LV95;2690355.61;1193498.612;01.01.1950 00:00;;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB215;CH1903+ / LV95;2690367.609;1193400.611;01.01.1950 00:00;;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB216;CH1903+ / LV95;2690292.608;1193353.611;01.01.1950 00:00;;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB217;CH1903+ / LV95;2691251.602;1191919.586;01.01.1950 00:00;456.06;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB218A;CH1903+ / LV95;2691102.608;1192709.595;01.01.1950 00:00;447.79;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB218B;CH1903+ / LV95;2691099.608;1192712.595;01.01.1950 00:00;447.87;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB219;CH1903+ / LV95;2691254.607;1192350.592;01.01.1950 00:00;453.92;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB220;CH1903+ / LV95;2689953.614;1194356.624;01.01.1950 00:00;435.25;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB221;CH1903+ / LV95;2691029.609;1192912.598;01.01.1950 00:00;444.39;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB222;CH1903+ / LV95;2691319.599;1191515.582;01.01.1950 00:00;454.47;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB223;CH1903+ / LV95;2691025.614;1193344.605;01.01.1950 00:00;440;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB224;CH1903+ / LV95;2691496.62;1193036.609;01.01.1950 00:00;450.45;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB225;CH1903+ / LV95;2692039.62;1192274.605;01.01.1950 00:00;476;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB226;CH1903+ / LV95;2691683.623;1193056.612;01.01.1950 00:00;454.6;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB227;CH1903+ / LV95;2691254.618;1193314.609;01.01.1950 00:00;443.67;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB228;CH1903+ / LV95;2691246.62;1193449.611;01.01.1950 00:00;442.24;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB229;CH1903+ / LV95;2691905.623;1192724.61;01.01.1950 00:00;466.17;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB230;CH1903+ / LV95;2691053.607;1192662.595;01.01.1950 00:00;447.87;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB231;CH1903+ / LV95;2691150.6;1191119.583;01.01.1950 00:00;450.7;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB232;CH1903+ / LV95;2690859.609;1192987.601;01.01.1950 00:00;441.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB233;CH1903+ / LV95;2689780.611;1194184.625;01.01.1950 00:00;435.61;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB234;CH1903+ / LV95;2691115.599;1191289.584;01.01.1950 00:00;449.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB235;CH1903+ / LV95;2691455.605;1191944.588;01.01.1950 00:00;460;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB236;CH1903+ / LV95;2690685.61;1193224.605;01.01.1950 00:00;439;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB237;CH1903+ / LV95;2691416.603;1191804.585;01.01.1950 00:00;459;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB238;CH1903+ / LV95;2691235.618;1193310.609;01.01.1950 00:00;443;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB239;CH1903+ / LV95;2691606.618;1192734.605;01.01.1950 00:00;458.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB240;CH1903+ / LV95;2690641.609;1193234.606;01.01.1950 00:00;439;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB241;CH1903+ / LV95;2691775.621;1192759.609;01.01.1950 00:00;462.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB242;CH1903+ / LV95;2691775.621;1192749.608;01.01.1950 00:00;462.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB243;CH1903+ / LV95;2691705.623;1193019.612;01.01.1950 00:00;456.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB244;CH1903+ / LV95;2691165.604;1192179.589;01.01.1950 00:00;453.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB245;CH1903+ / LV95;2690960.605;1192454.595;01.01.1950 00:00;448;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB246;CH1903+ / LV95;2691878.624;1192852.612;01.01.1950 00:00;460;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB247;CH1903+ / LV95;2691348.611;1192537.597;01.01.1950 00:00;450;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB248;CH1903+ / LV95;2690941.609;1192976.6;01.01.1950 00:00;445;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB249;CH1903+ / LV95;2690617.609;1193182.605;01.01.1950 00:00;439;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB250;CH1903+ / LV95;2691257.601;1191812.585;01.01.1950 00:00;455;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB251;CH1903+ / LV95;2691671.619;1192737.606;01.01.1950 00:00;460.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB252;CH1903+ / LV95;2691659.619;1192739.606;01.01.1950 00:00;460.4;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB253;CH1903+ / LV95;2691588.622;1193124.612;01.01.1950 00:00;451;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB254;CH1903+ / LV95;2691905.62;1192418.605;01.01.1950 00:00;470.95;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB255;CH1903+ / LV95;2689920.613;1194249.624;01.01.1950 00:00;436;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB256;CH1903+ / LV95;2691428.604;1191881.586;01.01.1950 00:00;460.25;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB257;CH1903+ / LV95;2691246.61;1192623.596;01.01.1950 00:00;451.8;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB258;CH1903+ / LV95;2691793.62;1192587.606;01.01.1950 00:00;466;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB259;CH1903+ / LV95;2691570.61;1192116.593;01.01.1950 00:00;463.3;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB260;CH1903+ / LV95;2691082.607;1192596.594;01.01.1950 00:00;449.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB261;CH1903+ / LV95;2691660.622;1192961.61;01.01.1950 00:00;456.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB262;CH1903+ / LV95;2691591.624;1193239.614;01.01.1950 00:00;458;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB263;CH1903+ / LV95;2691781.624;1192980.613;01.01.1950 00:00;457;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB264;CH1903+ / LV95;2691120.6;1191819.587;01.01.1950 00:00;453;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB265;CH1903+ / LV95;2691479.616;1192786.604;01.01.1950 00:00;455.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB266;CH1903+ / LV95;2691451.611;1192367.596;01.01.1950 00:00;459.15;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB267;CH1903+ / LV95;2691593.616;1192633.603;01.01.1950 00:00;459.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB268;CH1903+ / LV95;2691400.613;1192646.6;01.01.1950 00:00;453.43;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB269;CH1903+ / LV95;2690620.618;1194184.615;01.01.1950 00:00;436.5;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB270;CH1903+ / LV95;2690635.618;1194195.615;01.01.1950 00:00;436.2;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB271;CH1903+ / LV95;2691836.623;1192803.611;01.01.1950 00:00;464.26;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB272;CH1903+ / LV95;2691282.62;1193395.611;01.01.1950 00:00;442.95;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB273;CH1903+ / LV95;2690554.62;1194452.618;01.01.1950 00:00;436.12;Landesnivellementnetz 1902;;104621;Axen
UR1201-EB274;CH1903+ / LV95;2692102.624;1192512.61;01.01.1950 00:00;475.5;Landesnivellementnetz 1902;;104621;Axen
