KK Standort;KK Struktur
;
Stationsnummer;Stationsnummer
QU_STA_AUSTRITTSFORM;QU_STR_AUFN_BEARBEITER
QU_STA_HANGLAGE;QU_STR_AUFN_DAT
QU_STA_ABFLUSSRICHTUNG;QU_STR_GROESSE
QU_STA_GELAENDENEIGUNG;QU_STR_BEREICH
QU_STA_TYP;QU_STR_BACHLAENGE
QU_STA_GEOLOGIE_LOKAL;QU_STR_MITTL_FLIESSGESCHW
QU_STA_SCHUTZZONE_STATUS;QU_STR_SCHUETTUNG
QU_STA_AUFNAHME_ID;QU_STR_VERNETZUNG
QU_STA_FASS_TYP;QU_STR_DIST_NACHBARQUELLE
QU_STA_FASS_ZUSTAND;QU_STR_ANZ_AUSTRITTE
QU_STA_FASS_ABDECKUNG;QU_STR_BEMERKUNGEN
QU_STA_FASS_BAUART;QU_STR_WERT_A
QU_STA_SCHACHTTYP;QU_STR_WERT_B
QU_STA_ANZ_QUELLZULAEUFE;QU_STR_GESAMTERGEBNIS
QU_STA_SCHACHT_UNTERLAGEN;QU_STR_BEWERTUNG
;QU_STR_GESAMT_EINDRUCK
;QU_STR_REVIT_OBJEKT
;QU_STR_NICHT_BEWERTBAR
