name;id;row;col;typ;;
Protokollname;pro_nam;1;A;;;
Kanton;que_ktn;1;R;;;
ID;que_idn;1;U;;;
Quellname;que_nam;3;C;O;obligatoric;Pflichtfeld
Datum;erh_dat;3;N;;;
Koord_X;kox;3;T;;;
Koord_Y;koy;3;V;S;single choice;
Flurname;flu_nam;5;C;;;
Höhe;hoe_ueM;5;N;M;multiple choice;
BearbeiterIn;bea_nam;5;T;;;
Austrittform;aus_for;9;D;;;
Hanglage;han_lag;11;D;;;
Abflussrichtung;abf_ric;13;D;;;
Geländeneigung;gel_nei;15;D;;;
Quellschüttung;qus_zei;17;D;;;
Fliessgeschwindigkeit;mit_fli;19;D;;;
Quelle_Grösse;que_gro;9;J;;;
Quellbereich;que_ber;11;J;;;
Quellbachlänge;que_lae;13;J;;;
Wassertemperatur;was_tem;15;J;;;
Quellschüttung;qus_wer;17;J;;;
Leitfähigkeit;lei_fae;19;J;;;
Vernetzung_Einzelquelle;kla_ein;9;S;;;
Vernetzung_Q-system;kla_sys;9;U;;;
Vernetzung_Q-komplex;kla_kom;9;W;;;
Dist._Nachbarquelle;dis_nac;11;R;;;
Anz._Austritte;anz_aus;11;V;;;
Bemerkungen;wer_ph_;13;Q;;;
Fotos_Dokumente;fot_dok;17;Q;;;
Foto_ID;fot_idn;17;S;;;
Trinkwassernutzung;nut_tri;19;Q;;;
Schutzstatus;nut_sch;19;S;;;
Kulturhistorische_Bedeutung;nut_kul;19;W;;;
Revitalisierungsobjekt;rev_obj;124;G;;;
Klassierung_naturnah;kla_nat;127;G;;;
Klassierung_bedingt_naturnah;kla_bed;128;G;;;
Klassierung_mässig_beeinträchtigt;kla_mae;129;G;;;
Klassierung_geschädigt;kla_ges;130;G;;;
Klassierung_stark_geschädigt;kla_sta;131;G;;;
Bewertung_1;bew_1__;127;M;;;
Bewertung_2;bew_2__;128;M;;;
Bewertung_3;bew_3__;129;M;;;
Bewertung_4;bew_4__;130;M;;;
Bewertung_5;bew_5__;131;M;;;
Wert_A_Beeinträchtigung;wer_a__;122;I;;;
Wert_B_Vegetation-Nutzung-Struktur;wer_b__;122;V;;;
Aufwertung;wer_auf;124;V;;;
Gesamtergebnis;wer_ges;126;V;;;
Nicht_bewertbar_zerstört;n_b_zer;129;U;;;
Nicht_bewertbar_kein_Abfluss;n_b_k_A;131;U;;;
