name;id;row;col;typ;;
Protokollname;pro_nam;1;A;;;
Kanton;que_ktn;1;R;;;
ID;que_idn;1;U;;;
Quellname;que_nam;3;C;O;obligatoric;Pflichtfeld
Datum;erh_dat;3;N;;;
Koord_X;kox;3;T;;;
Koord_Y;koy;3;V;S;single choice;
Flurname;flu_nam;5;C;;;
Höhe;hoe_ueM;5;N;M;multiple choice;
BearbeiterIn;bea_nam;5;T;;;
Austrittform;aus_for;9;D;;;
Hanglage;han_lag;11;D;;;
Abflussrichtung;abf_ric;13;D;;;
Geländeneigung;gel_nei;15;D;;;
Quellschüttung;qus_zei;17;D;;;
Fliessgeschwindigkeit;mit_fli;19;D;;;
;que_gro;9;J;;;
;que_ber;11;J;;;
;que_lae;13;J;;;
;was_tem;15;J;;;
;qus_wer;17;J;;;
;lei_fae;19;J;;;
;kla_ein;9;S;;;
;kla_sys;9;U;;;
;kla_kom;9;W;;;
;dis_nac;11;R;;;
;anz_aus;11;V;;;
;wer_ph_;13;Q;;;
;fot_dok;17;Q;;;
;fot_idn;17;S;;;
;nut_tri;19;Q;;;
;nut_sch;19;S;;;
;nut_kul;19;W;;;
;rev_obj;124;G;;;
;kla_nat;127;G;;;
;kla_bed;128;G;;;
;kla_mae;129;G;;;
;kla_ges;130;G;;;
;kla_sta;131;G;;;
;bew_1__;127;M;;;
;bew_2__;128;M;;;
;bew_3__;129;M;;;
;bew_4__;130;M;;;
;bew_5__;131;M;;;
;wer_a__;122;I;;;
;wer_b__;122;V;;;
;wer_auf;124;V;;;
;wer_ges;126;V;;;
;n_b_zer;129;U;;;
;n_b_k_A;131;U;;;
