id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1202-50xx
que_nam;Quellname;Gand 1
erh_dat;Datum;20.08.2021
kox;Koord_X;692646
koy;Koord_Y;168037
flu_nam;Flurname;Gand
hoe_uem;Hoehe_mueM;1986
bea_nam;BearbeiterIn;kag
aus_for;Austrittform;Fliessquelle
han_lag;Hanglage;Tallage
abf_ric;Abflussrichtung;SW
gel_nei;Gelaendeneigung;schwach
qus_zei;Quellschuettung;ganzjährig
mit_fli;Fliessgeschwindigkeit;langsam
que_gro;Quelle_Groesse;3
que_ber;Quellbereich;18
que_lae;Quellbachlaenge;8
wat_mes;Wassertemperatur_Messung;8.4
qus_mes;Quellschuettung_Messung;0.1
lef_mes;Leitfaehigkeit_Messung;52
ver_ein;Vernetzung_Einzelquelle;x
ver_qsy;Vernetzung_Q_system;
ver_qko;Vernetzung_Q_komplex;
dis_nac;Distanz_Nachbarquelle;
anz_aus;Anzahl_Austritte;1
bem;Bemerkungen;"Frösche, Turbellaria, Trichoptera, Muschel, rote ""Würmer""; sehr schöne Quelle; Metalldraht und -bogen im Wasser; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)"
fot_dok;Fotos_Dokumente;x
fot_idn;Foto_ID;1202 Gand 1
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische_Bedeutung;
rev_obj;Revitalisierungsobjekt;JA
kla_nat;Klassierung_naturnah;x
kla_bed;Klassierung_bedingt_naturnah;
kla_mae;Klassierung_maessig_beeintraechtigt;
kla_ges;Klassierung_geschaedigt;
kla_sta;Klassierung_stark_geschaedigt;
be1;Bewertung_1;
be2;Bewertung_2;x
be3;Bewertung_3;
be4;Bewertung_4;
be5;Bewertung_5;
wea;Wert_A_Beeintraechtigung;3
web;Wert_B_Vegetation_Nutzung_Struktur;1.7222222222222223
wer_auf;Aufwertung;0.4
wer_ges;Gesamtergebnis;1.9611111111111112
n_b_zer;Nicht_bewertbar_zerstoert;
n_b_k_a;Nicht_bewertbar_kein_Abfluss;
phw;pH_Wert_Messung;
