id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1202-50xx
que_nam;Quelle;Gand 1
auf_dat;Datum;20.08.2021
kox;Koordinaten X;692646
koy;Koordinaten Y;168037
flu_nam;Flurname;Gand
hoe_uem;Höhe ü.M.;1986
auf_bea;BearbeiterIn;kag
aus_for;Austrittsform;Fliessquelle
han_lag;Hanglage;Tallage
abf_ric;Abflussrichtung;SW
gel_nei;Geländeneigung;schwach (0 - 5°)
qus_jah;Quellschüttung;ganzjährig
mit_fli;Mittlere Fliessgeschwindigkeit;langsam (0.05 - 0.25 m/s)
que_gro;Quellgrösse;3
que_ber;Quellbereich;18
que_lae;Quellbachlänge;8
wat_mes;Wassertemperatur – Messung;8.4
qus_mes;Quellschüttung – Messung;0.1
lef_mes;Leitfähigkeit – Messung;52
ver_ein;Vernetzung_Einzelquelle;x
ver_qsy;Vernetzung_Quellsystem;
ver_qko;Vernetzung_Quellkomplex;
dis_nac;Distanz zur Nachbarquelle;
anz_aus;Anzahl Austritte;1
str_bem;Bemerkungen;"Frösche, Turbellaria, Trichoptera, Muschel, rote ""Würmer""; sehr schöne Quelle; Metalldraht und -bogen im Wasser; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)"
fot_dok;Fotos und andere Dokumente;x
fot_idn;Fotos- und Dokumente-ID;1202 Gand 1
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische Bedeutung;
bru_neu;Fassung_Brunnenstube mit Überlauf_neu;
bru_alt;Fassung_Brunnenstube mit Überlauf_alt;
bru_ver;Fassung_Brunnenstube mit Überlauf_verfallen;
r_b_neu;Fassung_Rohr und Becken_neu;
r_b_alt;Fassung_Rohr und Becken_alt;
r_b_ver;Fassung_Rohr und Becken_verfallen;
r_r_neu;Fassung_nur Rohr / Rinne_neu;
r_r_alt;Fassung_nur Rohr / Rinne_alt;
r_r_ver;Fassung_nur Rohr / Rinne_verfallen;
fas_kei;Fassung_keine;1
rev_obj;Revitalisierungsobjekt;JA
ges_nat;Gesamteindruck_naturnah;x
ges_bed;Gesamteindruck_bedingt naturnah;
ges_mae;Gesamteindruck_mässig beeinträchtigt;
ges_ges;Gesamteindruck_geschädigt;
ges_sta;Gesamteindruck_stark geschädigt;
bew_nat;Bewertung_naturnah (0.6 - 1.8);
bew_bed;Bewertung_bedingt naturnah (1.81 - 2.6);x
bew_mae;Bewertung_mässig beeinträchtigt (2.61 - 3.4);
bew_ges;Bewertung_geschädigt (3.41 - 4.2);
bew_sta;Bewertung_stark geschädigt (4.21 - 5.0);
str_wea;Wert A;3
str_web;Wert B;1.7222222222222223
str_weg;Gesamtergebnis;1.9611111111111112
n_b_zer;Bewertbarkeit_Quelle zerstört;
n_b_k_a;Bewertbarkeit_kein Abfluss;
phw;pH-Wert – Messung;
ver_typ;Vernetzung;Einzelquelle
fas_typ;Fassung;keine
fas_zus;Zustand;
ges_typ;Gesamteindruck;naturnah
bew_typ;Bewertung;bedingt naturnah (1.81 - 2.6)
qnb_typ;Quelle nicht bewertbar;
