id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1202-50xx
que_nam;Quellname;Zen Staflen 6
erh_dat;Datum;13.08.2021
kox;Koord_X;691863
koy;Koord_Y;167781
flu_nam;Flurname;Zen Staflen
hoe_uem;Hoehe_mueM;1863
bea_nam;BearbeiterIn;kag
aus_for;Austrittform;Sickerquelle
han_lag;Hanglage;Hangfuss
abf_ric;Abflussrichtung;SW
gel_nei;Gelaendeneigung;mässig
qus_zei;Quellschuettung;ganzjährig
mit_fli;Fliessgeschwindigkeit;langsam
que_gro;Quelle_Groesse;5
que_ber;Quellbereich;15
que_lae;Quellbachlaenge;40
wat_mes;Wassertemperatur_Messung;7.6
qus_mes;Quellschuettung_Messung;
lef_mes;Leitfaehigkeit_Messung;88
ver_ein;Vernetzung_Einzelquelle;
ver_qsy;Vernetzung_Q_system;
ver_qko;Vernetzung_Q_komplex;x
dis_nac;Distanz_Nachbarquelle;20
anz_aus;Anzahl_Austritte;3
bem;Bemerkungen;"pH 7.00; Turbellaria, viele Trichoptera; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)"
fot_dok;Fotos_Dokumente;x
fot_idn;Foto_ID;1202 Zen Staflen 6
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische_Bedeutung;
bru_neu;Fassung_Brunnenstube_mit_Ueberlauf_neu;
bru_alt;Fassung_Brunnenstube_mit_Ueberlauf_alt;
bru_ver;Fassung_Brunnenstube_mit_Ueberlauf_verfallen;
r_b_neu;Fassung_Rohr_und_Becken_neu;
r_b_alt;Fassung_Rohr_und_Becken_alt;
r_b_ver;Fassung_Rohr_und_Becken_verfallen;
r_r_neu;Fassung_nur_Rohr_Rinne_neu;
r_r_alt;Fassung_nur_Rohr_Rinne_alt;
r_r_ver;Fassung_nur_Rohr_Rinne_verfallen;
fas_kei;Fassung_keine;1
rev_obj;Revitalisierungsobjekt;NEIN
kla_nat;Klassierung_naturnah;x
kla_bed;Klassierung_bedingt_naturnah;
kla_mae;Klassierung_maessig_beeintraechtigt;
kla_ges;Klassierung_geschaedigt;
kla_sta;Klassierung_stark_geschaedigt;
be1;Bewertung_1;x
be2;Bewertung_2;
be3;Bewertung_3;
be4;Bewertung_4;
be5;Bewertung_5;
wea;Wert_A_Beeintraechtigung;1
web;Wert_B_Vegetation_Nutzung_Struktur;1.9404761904761905
wer_auf;Aufwertung;0
wer_ges;Gesamtergebnis;1.4702380952380953
n_b_zer;Nicht_bewertbar_zerstoert;
n_b_k_a;Nicht_bewertbar_kein_Abfluss;
phw;pH_Wert_Messung;7.0
