id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1205-10xx
que_nam;Quellname;Teilalp 5
erh_dat;Datum;23.07.2021
kox;Koord_X;695158
koy;Koord_Y;195715
flu_nam;Flurname;Teilalp
hoe_uem;Hoehe_mueM;1728
bea_nam;BearbeiterIn;kag
aus_for;Austrittform;künstlich
han_lag;Hanglage;Mittelhang
abf_ric;Abflussrichtung;
gel_nei;Gelaendeneigung;schwach
qus_zei;Quellschuettung;
mit_fli;Fliessgeschwindigkeit;
que_gro;Quelle_Groesse;
que_ber;Quellbereich;
que_lae;Quellbachlaenge;
wat_mes;Wassertemperatur_Messung;
qus_mes;Quellschuettung_Messung;
lef_mes;Leitfaehigkeit_Messung;
ver_ein;Vernetzung_Einzelquelle;
ver_qsy;Vernetzung_Q_system;
ver_qko;Vernetzung_Q_komplex;
dis_nac;Distanz_Nachbarquelle;
anz_aus;Anzahl_Austritte;
bem;Bemerkungen;"Quelle gefasst; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)"
fot_dok;Fotos_Dokumente;x
fot_idn;Foto_ID;1205 Teilalp 5
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische_Bedeutung;
rev_obj;Revitalisierungsobjekt;NEIN
kla_nat;Klassierung_naturnah;
kla_bed;Klassierung_bedingt_naturnah;
kla_mae;Klassierung_maessig_beeintraechtigt;
kla_ges;Klassierung_geschaedigt;
kla_sta;Klassierung_stark_geschaedigt;x
be1;Bewertung_1;
be2;Bewertung_2;
be3;Bewertung_3;
be4;Bewertung_4;
be5;Bewertung_5;
wea;Wert_A_Beeintraechtigung;5
web;Wert_B_Vegetation_Nutzung_Struktur;
wer_auf;Aufwertung;0
wer_ges;Gesamtergebnis;
n_b_zer;Nicht_bewertbar_zerstoert;
n_b_k_a;Nicht_bewertbar_kein_Abfluss;x
phw;pH_Wert_Messung;
