id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1205-5005
que_nam;Quelle;Spiss 1
auf_dat;Datum;12.07.2022
kox;Koordinaten X;693285
koy;Koordinaten Y;192610
flu_nam;Flurname;Spiss
hoe_uem;Höhe ü.M.;640
auf_bea;BearbeiterIn;kag
aus_for;Austrittsform;Fallquelle
han_lag;Hanglage;Mittelhang
abf_ric;Abflussrichtung;SO
gel_nei;Geländeneigung;mässig (5 - 15°)
qus_jah;Quellschüttung;
mit_fli;Mittlere Fliessgeschwindigkeit;mässig (0.25 - 0.75 m/s)
que_gro;Quellgrösse;2
que_ber;Quellbereich;3
que_lae;Quellbachlänge;20
wat_mes;Wassertemperatur – Messung;13.3
qus_mes;Quellschüttung – Messung;0.5
lef_mes;Leitfähigkeit – Messung;510
ver_ein;Vernetzung_Einzelquelle;
ver_qsy;Vernetzung_Quellsystem;x
ver_qko;Vernetzung_Quellkomplex;
dis_nac;Distanz zur Nachbarquelle;
anz_aus;Anzahl Austritte;15
str_bem;Bemerkungen;"Wasser fliesst an den Wänden des Tunnels herab, Quellbach fliesst in Rinne und dann Dohle; Kalksinter, Terassenbildung, teilweise Eisenablagerungen; keine Vegetation; Im Quellkataster al Quellen 1205-5005 bis 5015 erfasst, aber besser als eine einzige Quelle anzusehen"
fot_dok;Fotos und andere Dokumente;x
fot_idn;Fotos- und Dokumente-ID;1205.5005 Spiss 1
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische Bedeutung;
bru_neu;Fassung_Brunnenstube mit Überlauf_neu;
bru_alt;Fassung_Brunnenstube mit Überlauf_alt;
bru_ver;Fassung_Brunnenstube mit Überlauf_verfallen;
r_b_neu;Fassung_Rohr und Becken_neu;
r_b_alt;Fassung_Rohr und Becken_alt;
r_b_ver;Fassung_Rohr und Becken_verfallen;
r_r_neu;Fassung_nur Rohr / Rinne_neu;1
r_r_alt;Fassung_nur Rohr / Rinne_alt;
r_r_ver;Fassung_nur Rohr / Rinne_verfallen;
fas_kei;Fassung_keine;
rev_obj;Revitalisierungsobjekt;
ges_nat;Gesamteindruck_naturnah;
ges_bed;Gesamteindruck_bedingt naturnah;
ges_mae;Gesamteindruck_mässig beeinträchtigt;
ges_ges;Gesamteindruck_geschädigt;
ges_sta;Gesamteindruck_stark geschädigt;x
bew_nat;Bewertung_naturnah (0.6 - 1.8);
bew_bed;Bewertung_bedingt naturnah (1.81 - 2.6);
bew_mae;Bewertung_mässig beeinträchtigt (2.61 - 3.4);
bew_ges;Bewertung_geschädigt (3.41 - 4.2);
bew_sta;Bewertung_stark geschädigt (4.21 - 5.0);x
str_wea;Wert A;5
str_web;Wert B;4.125
str_weg;Gesamtergebnis;4.5625
n_b_zer;Bewertbarkeit_Quelle zerstört;
n_b_k_a;Bewertbarkeit_kein Abfluss;
phw;pH-Wert – Messung;
ver_typ;Vernetzung;Quellsystem
fas_typ;Fassung;nur Rohr / Rinne
fas_zus;Zustand;neu
ges_typ;Gesamteindruck;stark geschädigt
bew_typ;Bewertung;stark geschädigt (4.21 - 5.0)
qnb_typ;Quelle nicht bewertbar;
