id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1205-5069
que_nam;Quelle;Lücken 1
auf_dat;Datum;30.07.2021
kox;Koordinaten X;695349
koy;Koordinaten Y;195587
flu_nam;Flurname;Lücken
hoe_uem;Höhe ü.M.;1775
auf_bea;BearbeiterIn;kag
aus_for;Austrittsform;Fallquelle
han_lag;Hanglage;Mittelhang
abf_ric;Abflussrichtung;S
gel_nei;Geländeneigung;stark (15 - 30°)
qus_jah;Quellschüttung;
mit_fli;Mittlere Fliessgeschwindigkeit;mässig (0.25 - 0.75 m/s)
que_gro;Quellgrösse;5
que_ber;Quellbereich;10
que_lae;Quellbachlänge;250
wat_mes;Wassertemperatur – Messung;
qus_mes;Quellschüttung – Messung;0.4
lef_mes;Leitfähigkeit – Messung;
ver_ein;Vernetzung_Einzelquelle;x
ver_qsy;Vernetzung_Quellsystem;
ver_qko;Vernetzung_Quellkomplex;
dis_nac;Distanz zur Nachbarquelle;
anz_aus;Anzahl Austritte;1
str_bem;Bemerkungen;"Austritt war nicht erreichbar für Messung und Fauna; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)"
fot_dok;Fotos und andere Dokumente;x
fot_idn;Fotos- und Dokumente-ID;1205-5069
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische Bedeutung;
bru_neu;Fassung_Brunnenstube mit Überlauf_neu;
bru_alt;Fassung_Brunnenstube mit Überlauf_alt;
bru_ver;Fassung_Brunnenstube mit Überlauf_verfallen;
r_b_neu;Fassung_Rohr und Becken_neu;
r_b_alt;Fassung_Rohr und Becken_alt;
r_b_ver;Fassung_Rohr und Becken_verfallen;
r_r_neu;Fassung_nur Rohr / Rinne_neu;
r_r_alt;Fassung_nur Rohr / Rinne_alt;
r_r_ver;Fassung_nur Rohr / Rinne_verfallen;
fas_kei;Fassung_keine;1
rev_obj;Revitalisierungsobjekt;NEIN
ges_nat;Gesamteindruck_naturnah;x
ges_bed;Gesamteindruck_bedingt naturnah;
ges_mae;Gesamteindruck_mässig beeinträchtigt;
ges_ges;Gesamteindruck_geschädigt;
ges_sta;Gesamteindruck_stark geschädigt;
bew_nat;Bewertung_naturnah (0.6 - 1.8);x
bew_bed;Bewertung_bedingt naturnah (1.81 - 2.6);
bew_mae;Bewertung_mässig beeinträchtigt (2.61 - 3.4);
bew_ges;Bewertung_geschädigt (3.41 - 4.2);
bew_sta;Bewertung_stark geschädigt (4.21 - 5.0);
str_wea;Wert A;1
str_web;Wert B;1.3458333333333332
str_weg;Gesamtergebnis;1.1729166666666666
n_b_zer;Bewertbarkeit_Quelle zerstört;
n_b_k_a;Bewertbarkeit_kein Abfluss;
phw;pH-Wert – Messung;
ver_typ;Vernetzung;Einzelquelle
fas_typ;Fassung;keine
fas_zus;Zustand;
ges_typ;Gesamteindruck;naturnah
bew_typ;Bewertung;naturnah (0.6 - 1.8)
qnb_typ;Quelle nicht bewertbar;
