id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1219-5011
que_nam;Quelle;Unter Balm 3
auf_dat;Datum;14.07.2021
kox;Koordinaten X;706165
koy;Koordinaten Y;192383
flu_nam;Flurname;Unter Balm
hoe_uem;Höhe ü.M.;1830
auf_bea;BearbeiterIn;kag
aus_for;Austrittsform;künstlich
han_lag;Hanglage;Mittelhang
abf_ric;Abflussrichtung;S
gel_nei;Geländeneigung;mässig (5 - 15°)
qus_jah;Quellschüttung;ganzjährig
mit_fli;Mittlere Fliessgeschwindigkeit;sehr schnell (> 1.5 m/s)
que_gro;Quellgrösse;2
que_ber;Quellbereich;2
que_lae;Quellbachlänge;1
wat_mes;Wassertemperatur – Messung;4.6
qus_mes;Quellschüttung – Messung;150
lef_mes;Leitfähigkeit – Messung;213
ver_ein;Vernetzung_Einzelquelle;
ver_qsy;Vernetzung_Quellsystem;x
ver_qko;Vernetzung_Quellkomplex;
dis_nac;Distanz zur Nachbarquelle;40
anz_aus;Anzahl Austritte;1
str_bem;Bemerkungen;"pH 8.03; Revitalisierung wäre sehr umfangreich, aber möglich; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen & Hochwasser)"
fot_dok;Fotos und andere Dokumente;x
fot_idn;Fotos- und Dokumente-ID;1219-5011
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische Bedeutung;
bru_neu;Fassung_Brunnenstube mit Überlauf_neu;
bru_alt;Fassung_Brunnenstube mit Überlauf_alt;
bru_ver;Fassung_Brunnenstube mit Überlauf_verfallen;
r_b_neu;Fassung_Rohr und Becken_neu;
r_b_alt;Fassung_Rohr und Becken_alt;
r_b_ver;Fassung_Rohr und Becken_verfallen;
r_r_neu;Fassung_nur Rohr / Rinne_neu;
r_r_alt;Fassung_nur Rohr / Rinne_alt;
r_r_ver;Fassung_nur Rohr / Rinne_verfallen;
fas_kei;Fassung_keine;1
rev_obj;Revitalisierungsobjekt;JA
ges_nat;Gesamteindruck_naturnah;
ges_bed;Gesamteindruck_bedingt naturnah;
ges_mae;Gesamteindruck_mässig beeinträchtigt;
ges_ges;Gesamteindruck_geschädigt;
ges_sta;Gesamteindruck_stark geschädigt;x
bew_nat;Bewertung_naturnah (0.6 - 1.8);
bew_bed;Bewertung_bedingt naturnah (1.81 - 2.6);
bew_mae;Bewertung_mässig beeinträchtigt (2.61 - 3.4);
bew_ges;Bewertung_geschädigt (3.41 - 4.2);
bew_sta;Bewertung_stark geschädigt (4.21 - 5.0);x
str_wea;Wert A;5
str_web;Wert B;4
str_weg;Gesamtergebnis;4.5
n_b_zer;Bewertbarkeit_Quelle zerstört;
n_b_k_a;Bewertbarkeit_kein Abfluss;
phw;pH-Wert – Messung;8.03
ver_typ;Vernetzung;Quellsystem
fas_typ;Fassung;keine
fas_zus;Zustand;
ges_typ;Gesamteindruck;stark geschädigt
bew_typ;Bewertung;stark geschädigt (4.21 - 5.0)
qnb_typ;Quelle nicht bewertbar;
