id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1219-5061
que_nam;Quelle;Ueligschwand 2
auf_dat;Datum;22.07.2021
kox;Koordinaten X;701562
koy;Koordinaten Y;189274
flu_nam;Flurname;Ueligschwand
hoe_uem;Höhe ü.M.;1165
auf_bea;BearbeiterIn;kag
aus_for;Austrittsform;Fallquelle
han_lag;Hanglage;Oberhang
abf_ric;Abflussrichtung;W
gel_nei;Geländeneigung;schroff (30 - 90°)
qus_jah;Quellschüttung;ganzjährig
mit_fli;Mittlere Fliessgeschwindigkeit;sehr schnell (> 1.5 m/s)
que_gro;Quellgrösse;1
que_ber;Quellbereich;6
que_lae;Quellbachlänge;160
wat_mes;Wassertemperatur – Messung;8
qus_mes;Quellschüttung – Messung;50
lef_mes;Leitfähigkeit – Messung;270
ver_ein;Vernetzung_Einzelquelle;
ver_qsy;Vernetzung_Quellsystem;x
ver_qko;Vernetzung_Quellkomplex;
dis_nac;Distanz zur Nachbarquelle;40
anz_aus;Anzahl Austritte;2
str_bem;Bemerkungen;"pH 8.00; Fauna nicht untersucht; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen & Hochwasser)"
fot_dok;Fotos und andere Dokumente;x
fot_idn;Fotos- und Dokumente-ID;1219-5061
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische Bedeutung;
bru_neu;Fassung_Brunnenstube mit Überlauf_neu;
bru_alt;Fassung_Brunnenstube mit Überlauf_alt;
bru_ver;Fassung_Brunnenstube mit Überlauf_verfallen;
r_b_neu;Fassung_Rohr und Becken_neu;
r_b_alt;Fassung_Rohr und Becken_alt;
r_b_ver;Fassung_Rohr und Becken_verfallen;
r_r_neu;Fassung_nur Rohr / Rinne_neu;
r_r_alt;Fassung_nur Rohr / Rinne_alt;
r_r_ver;Fassung_nur Rohr / Rinne_verfallen;
fas_kei;Fassung_keine;1
rev_obj;Revitalisierungsobjekt;NEIN
ges_nat;Gesamteindruck_naturnah;x
ges_bed;Gesamteindruck_bedingt naturnah;
ges_mae;Gesamteindruck_mässig beeinträchtigt;
ges_ges;Gesamteindruck_geschädigt;
ges_sta;Gesamteindruck_stark geschädigt;
bew_nat;Bewertung_naturnah (0.6 - 1.8);x
bew_bed;Bewertung_bedingt naturnah (1.81 - 2.6);
bew_mae;Bewertung_mässig beeinträchtigt (2.61 - 3.4);
bew_ges;Bewertung_geschädigt (3.41 - 4.2);
bew_sta;Bewertung_stark geschädigt (4.21 - 5.0);
str_wea;Wert A;1
str_web;Wert B;1.0833333333333333
str_weg;Gesamtergebnis;0.6416666666666665
n_b_zer;Bewertbarkeit_Quelle zerstört;
n_b_k_a;Bewertbarkeit_kein Abfluss;
phw;pH-Wert – Messung;8.0
ver_typ;Vernetzung;Quellsystem
fas_typ;Fassung;keine
fas_zus;Zustand;
ges_typ;Gesamteindruck;naturnah
bew_typ;Bewertung;naturnah (0.6 - 1.8)
qnb_typ;Quelle nicht bewertbar;
