id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1204-5025
que_nam;Quellname;Secki 1
erh_dat;Datum;11.08.2021
kox;Koord_X;686584
koy;Koord_Y;198943
flu_nam;Flurname;Secki
hoe_uem;Hoehe_mueM;505
bea_nam;BearbeiterIn;kag
aus_for;Austrittform;Fliessquelle
han_lag;Hanglage;Mittelhang
abf_ric;Abflussrichtung;O
gel_nei;Gelaendeneigung;mässig
qus_zei;Quellschuettung;
mit_fli;Fliessgeschwindigkeit;sehr schnell
que_gro;Quelle_Groesse;15
que_ber;Quellbereich;25
que_lae;Quellbachlaenge;20
was_tem;Wassertemperatur;12.5
qus_wer;Quellschuettung;15
lei_fae;Leitfaehigkeit;287
ver_ein;Vernetzung_Einzelquelle;x
ver_qsy;Vernetzung_Q_system;
ver_qko;Vernetzung_Q_komplex;
dis_nac;Distanz_Nachbarquelle;
anz_aus;Anzahl_Austritte;1
bem;Bemerkungen;"pH 7.70; Fauna nicht untersucht; (Sommer 2021 mit sehr starken, anhaltenden Regenfällen, Hochwasser)"
fot_dok;Fotos_Dokumente;x
fot_idn;Foto_ID;1204-5025
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische_Bedeutung;
rev_obj;Revitalisierungsobjekt;JA
kla_nat;Klassierung_naturnah;
kla_bed;Klassierung_bedingt_naturnah;x
kla_mae;Klassierung_maessig_beeintraechtigt;
kla_ges;Klassierung_geschaedigt;
kla_sta;Klassierung_stark_geschaedigt;
be1;Bewertung_1;
be2;Bewertung_2;x
be3;Bewertung_3;
be4;Bewertung_4;
be5;Bewertung_5;
wea;Wert_A_Beeintraechtigung;3
web;Wert_B_Vegetation_Nutzung_Struktur;1.375
wer_auf;Aufwertung;0
wer_ges;Gesamtergebnis;2.1875
n_b_zer;Nicht_bewertbar_zerstoert;
n_b_k_a;Nicht_bewertbar_kein_Abfluss;
phw;pH-Wert;7.7
