id;name;result
pro_nam;Protokollname;Quellen Protokoll - Struktur
que_ktn;Kanton;UR
que_idn;ID;1205-5017
que_nam;Quellname;Ennermatt 1
erh_dat;Datum;12.07.2022
kox;Koord_X;693550
koy;Koord_Y;192705
flu_nam;Flurname;Ennermatt
hoe_uem;Hoehe_mueM;650
bea_nam;BearbeiterIn;kag
aus_for;Austrittform;
han_lag;Hanglage;
abf_ric;Abflussrichtung;
gel_nei;Gelaendeneigung;
qus_zei;Quellschuettung;
mit_fli;Fliessgeschwindigkeit;
que_gro;Quelle_Groesse;
que_ber;Quellbereich;
que_lae;Quellbachlaenge;
was_tem;Wassertemperatur;
qus_wer;Quellschuettung;
lei_fae;Leitfaehigkeit;
ver_ein;Vernetzung_Einzelquelle;
ver_qsy;Vernetzung_Q_system;
ver_qko;Vernetzung_Q_komplex;
dis_nac;Distanz_Nachbarquelle;
anz_aus;Anzahl_Austritte;
bem;Bemerkungen;nicht kartiert, schlecht zugänglich, hohe Brennessel- und Brombeerstauden
fot_dok;Fotos_Dokumente;
fot_idn;Foto_ID;
nut_tri;Trinkwassernutzung;
nut_sch;Schutzstatus;
nut_kul;Kulturhistorische_Bedeutung;
rev_obj;Revitalisierungsobjekt;
kla_nat;Klassierung_naturnah;
kla_bed;Klassierung_bedingt_naturnah;
kla_mae;Klassierung_maessig_beeintraechtigt;
kla_ges;Klassierung_geschaedigt;
kla_sta;Klassierung_stark_geschaedigt;
be1;Bewertung_1;
be2;Bewertung_2;
be3;Bewertung_3;
be4;Bewertung_4;
be5;Bewertung_5;
wea;Wert_A_Beeintraechtigung;
web;Wert_B_Vegetation_Nutzung_Struktur;
wer_auf;Aufwertung;0
wer_ges;Gesamtergebnis;
n_b_zer;Nicht_bewertbar_zerstoert;
n_b_k_a;Nicht_bewertbar_kein_Abfluss;
phw;pH-Wert;
